,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Total_y,Accesos por cada 100 hab,Mbps (Media de bajada)
54,2022,2,Corrientes,38468.0,75769.0,18181.0,7256.0,5323.0,144993,4.0,144997,12.732146965383649,43.31
55,2022,2,Entre Ríos,63794.0,131029.0,35839.0,26098.0,12592.0,269330,22.0,269352,19.10468595065942,40.03
56,2022,2,Formosa,15397.0,25487.0,9875.0,16910.0,212.0,67881,0.0,67881,11.049814591140091,28.47
57,2022,2,Jujuy,20303.0,54495.0,34184.0,3955.0,2377.0,115314,0.0,115314,14.656913524540675,29.39
58,2022,2,La Pampa,7796.0,59273.0,22994.0,20200.0,1264.0,111356,171.0,111527,30.632721559665782,16.07
59,2022,2,La Rioja,7759.0,52656.0,19189.0,6395.0,31.0,86026,4.0,86030,21.331409216914373,43.28
60,2022,2,Mendoza,37663.0,77504.0,135504.0,26964.0,1927.0,278785,777.0,279562,13.782233784570575,29.72
61,2022,2,Misiones,37208.0,89260.0,33649.0,11074.0,7622.0,178813,0.0,178813,13.89002818196789,46.23
62,2022,2,Neuquén,29749.0,74905.0,28824.0,27371.0,1119.0,161500,468.0,161968,23.81745752817118,46.53
63,2022,2,Río Negro,36050.0,47040.0,40946.0,16760.0,18968.0,159216,548.0,159764,20.867543527383397,33.26
64,2022,2,Salta,42665.0,96178.0,47076.0,10068.0,7190.0,203172,5.0,203177,13.936010557448652,38.77
65,2022,2,San Juan,38570.0,19734.0,12328.0,21859.0,7916.0,100126,281.0,100407,12.597912455631214,14.44
66,2022,2,San Luis,6860.0,29034.0,248.0,70614.0,14985.0,121559,182.0,121741,23.396972678771853,19.32
67,2022,2,Santa Cruz,10170.0,23725.0,10815.0,3896.0,579.0,48987,198.0,49185,12.83962283852644,11.81
68,2022,2,Santa Fe,198492.0,428233.0,189503.0,43081.0,19550.0,878749,110.0,878859,24.495906799164608,42.01
69,2022,2,Santiago Del Estero,16561.0,80338.0,11605.0,6618.0,2922.0,118042,2.0,118044,11.836737968128928,16.34
70,2022,2,Tierra Del Fuego,12754.0,39837.0,403.0,125.0,651.0,53458,312.0,53770,29.60495526496903,10.97
