,Provincia,Partido,Localidad,ADSL_x,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Población,ADSL_y,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
592,Buenos aires,Tordillo,General Conesa,40,227,0,0,0,0,0,63,330,1302,SI,SI,--,--,--,SI,SI,SI,SI,6812010.0,-36.5208587437818,-57.3249371025508
593,Buenos aires,Tordillo,Villa Roch,0,0,0,0,0,0,0,11,11,0,--,--,--,--,--,SI,--,SI,SI,6812010.0,-36.4735206430311,-57.3384090004103
594,Buenos aires,Tornquist,Saldungaray,564,0,0,0,0,0,0,0,564,1351,SI,--,--,--,--,--,SI,SI,SI,6819020.0,-38.2028131038038,-61.7678925154653
595,Buenos aires,Tornquist,Sierra de la Ventana,0,486,0,621,0,0,0,0,1107,2165,--,SI,--,SI,--,--,SI,SI,SI,6819030.0,-38.1366716139365,-61.7956860399239
596,Buenos aires,Tornquist,Tornquist,131,966,0,1461,0,2,0,0,2560,6473,SI,SI,--,SI,SI,--,SI,SI,SI,6819040.0,-38.0989983131157,-62.2218091270044
597,Buenos aires,Tornquist,Villa Serrana La Gruta,0,119,0,0,0,0,0,0,119,52,--,SI,--,--,--,--,--,--,--,6819060.0,-38.0568266332177,-62.0782618310425
598,Buenos aires,Tornquist,Villa Ventana,475,0,0,0,0,0,0,0,475,609,SI,--,--,--,--,--,SI,--,SI,6819070.0,-38.0795765714478,-61.9311383483155
599,Buenos aires,Trenque Lauquen,30 de Agosto,0,184,0,1396,2376,0,0,0,3956,4777,--,SI,--,SI,--,--,SI,SI,SI,6826040.0,-36.2779720057322,-62.5453088654651
600,Buenos aires,Trenque Lauquen,Trenque Lauquen,2527,16,68,12525,68,1,0,1241,16446,33442,SI,--,SI,SI,SI,SI,SI,SI,SI,6826050.0,-35.9746951559846,-62.7323099655579
601,Buenos aires,Trenque Lauquen,Girodias,47,0,0,0,0,0,0,2,49,161,SI,--,--,--,--,SI,SI,--,--,6826020.0,-36.367451804132,-62.3569660936558
602,Buenos aires,Trenque Lauquen,La Carreta,0,0,0,0,0,0,0,2,2,45,--,--,--,--,--,SI,--,--,--,6826030.0,-36.207576751709,-62.2386894226074
603,Buenos aires,Trenque Lauquen,Trongé,0,0,0,0,0,0,0,2,2,23,--,--,--,--,--,SI,--,--,--,6826060.0,-36.4603092402658,-62.4871229040303
604,Buenos aires,Trenque Lauquen,Berutti,0,0,0,282,0,0,0,0,282,1098,--,--,--,SI,--,--,SI,SI,SI,6826010.0,-35.8580311359835,-62.5126328995628
605,Buenos aires,Tres Arroyos,Claromecó,268,0,0,722,0,0,0,734,1724,2081,SI,--,--,SI,--,SI,SI,--,--,6833020.0,-38.7973744243016,-60.107623035402
606,Buenos aires,Tres Arroyos,Copetonas,0,0,0,1,0,0,0,89,90,1017,--,--,--,SI,--,SI,SI,SI,SI,6833030.0,-38.7227403438549,-60.4519655195991
607,Buenos aires,Tres Arroyos,Lin Calel,0,0,0,0,0,0,0,11,11,0,--,--,--,--,--,SI,--,--,--,6833040.0,-38.7081778337076,-60.2417246463467
608,Buenos aires,Tres Arroyos,Orense,0,0,1,246,407,0,0,146,800,2063,--,--,SI,SI,--,SI,SI,SI,SI,6833060.0,-38.6855169253543,-59.7764287092023
609,Buenos aires,Tres Arroyos,Reta,0,0,0,0,0,0,0,224,224,495,--,--,--,--,--,SI,SI,SI,SI,6833070.0,-38.8970805514765,-60.343409791669
610,Buenos aires,Tres Arroyos,San Francisco de Bellocq,0,0,0,0,0,0,0,120,120,523,--,--,--,--,--,SI,SI,SI,SI,6833080.0,-38.6931705173547,-60.0141786926695
611,Buenos aires,Tres Arroyos,San Mayol,0,0,0,0,9,0,0,11,20,63,--,--,--,--,--,SI,--,--,--,6833090.0,-38.3177365227324,-60.0258421214843
612,Buenos aires,Tres Arroyos,Tres Arroyos,1352,14565,61,1513,61,1,0,903,18456,46867,SI,SI,SI,SI,SI,SI,SI,SI,SI,6833100.0,-38.3771785795114,-60.2755588939396
613,Buenos aires,Tres De Febrero,11 De Septiembre,23,1195,0,5,1,2,0,0,1226,4402,SI,SI,--,SI,SI,--,SI,SI,SI,6840010.0,-34.566314345456,-58.6183600679169
614,Buenos aires,Tres De Febrero,Caseros,2423,23051,2,8901,25,0,0,2,34404,91280,SI,SI,--,SI,--,SI,SI,SI,SI,6840010.0,-34.608872950993,-58.5636644572416
615,Buenos aires,Tres De Febrero,Churruca,11,878,0,1543,0,0,0,0,2432,5846,SI,SI,--,SI,--,--,SI,SI,SI,6840010.0,-34.5589664800215,-58.6228016204112
616,Buenos aires,Tres De Febrero,Ciudad Jardín Lomas del Palomar,507,5266,0,837,2,0,0,0,6612,17794,SI,SI,--,SI,--,--,SI,SI,SI,6840010.0,-34.5961197253917,-58.5965998962097
617,Buenos aires,Tres De Febrero,Ciudadela,313,11586,67,14166,117,3,0,4,26256,73939,SI,SI,SI,SI,SI,SI,SI,SI,SI,6840010.0,-34.6326965166188,-58.5424067827037
618,Buenos aires,Tres De Febrero,El Libertador,134,2746,0,0,0,0,0,0,2880,15270,SI,SI,--,--,--,--,SI,SI,SI,6840010.0,-34.5564986200599,-58.622337837699
619,Buenos aires,Tres De Febrero,Jose Ingenieros,115,1900,0,547,3,0,0,5,2570,7300,SI,SI,--,SI,--,SI,SI,SI,SI,6840010.0,-34.6171528691842,-58.5342186326877
620,Buenos aires,Tres De Febrero,Loma Hermosa,992,5687,0,55,18,0,0,0,6752,18152,SI,SI,--,SI,--,--,SI,SI,SI,6840010.0,-34.5684066633166,-58.603081885803
621,Buenos aires,Tres De Febrero,Martín Coronado,188,5052,1,2678,6,0,0,0,7925,19326,SI,SI,--,SI,--,--,SI,SI,SI,6840010.0,-34.5852038063892,-58.5918755543704
622,Buenos aires,Tres De Febrero,Pablo Podestá,1504,3407,0,7,12,0,0,438,5368,12990,SI,SI,--,SI,--,SI,SI,SI,SI,6840010.0,-34.5758246152249,-58.6202497472316
623,Buenos aires,Tres De Febrero,Remedios De Escalada,113,2811,0,8174,16,0,0,0,11114,11987,SI,SI,--,SI,--,--,SI,SI,SI,6840010.0,-34.5705752444729,-58.620118067161
624,Buenos aires,Tres De Febrero,Saenz Peña,229,5106,0,969,0,1,0,1,6306,11666,SI,SI,--,SI,SI,SI,SI,SI,SI,6840010.0,-34.5992886088748,-58.5320796402641
625,Buenos aires,Tres De Febrero,Santos Lugares,326,6250,0,1328,8,0,0,1,7913,17205,SI,SI,--,SI,--,SI,SI,SI,SI,6840010.0,-34.5991533496562,-58.5478835120962
626,Buenos aires,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),228,7239,0,5799,3,0,0,0,13269,24967,SI,SI,--,SI,--,--,SI,SI,SI,6840010.0,-34.5822981982887,-58.5802932642206
627,Buenos aires,Tres De Febrero,Villa Raffo,135,2025,0,656,3,0,0,0,2819,7948,SI,SI,--,SI,--,--,SI,SI,SI,6840010.0,-34.6083090753398,-58.5319718083201
628,Buenos aires,Tres Lomas,Tres Lomas,93,724,1,136,319,0,0,94,1367,8061,SI,SI,SI,SI,--,SI,SI,SI,SI,6847020.0,-36.458109497037,-62.8621355091327
629,Buenos aires,Vicente López,Carapachay,861,5304,1,2132,2,0,0,0,8300,14923,SI,SI,--,SI,--,--,SI,SI,SI,6861010.0,-34.5259149691463,-58.5357639427634
630,Buenos aires,Vicente López,Florida,1575,14248,2,6952,6,0,0,2,22785,47339,SI,SI,--,SI,--,SI,SI,SI,SI,6861010.0,-34.5327432636609,-58.4910979599198
631,Buenos aires,Vicente López,Florida Oeste,2,5489,0,3278,5,1,0,245,9020,27261,SI,SI,--,SI,SI,SI,SI,SI,SI,6861010.0,-34.5394223366496,-58.5148137943065
632,Buenos aires,Vicente López,La Lucila,303,4099,1,1373,1,0,0,0,5777,12014,SI,SI,--,SI,--,--,SI,SI,SI,6861010.0,-34.4985433329471,-58.486582489457
633,Buenos aires,Vicente López,Munro,616,9214,8,5756,10,1,0,1,15606,35234,SI,SI,--,SI,SI,SI,SI,SI,SI,6861010.0,-34.5272623078248,-58.5255060588714
634,Buenos aires,Vicente López,Olivos,1312,23636,5,9944,10,1,0,0,34908,74242,SI,SI,SI,SI,SI,--,SI,SI,SI,6861010.0,-34.512161433984,-58.4985444232342
635,Buenos aires,Vicente López,Vicente López,288,9696,3,3490,17,0,0,1,13495,23668,SI,SI,SI,SI,--,SI,SI,SI,SI,6861010.0,-34.525536745172,-58.4736495025234
636,Buenos aires,Vicente López,Villa Adelina,0,568,0,1135,0,0,0,0,1703,9122,--,SI,--,SI,--,--,--,SI,SI,6861010.0,-34.5287596487564,-58.5460242623901
637,Buenos aires,Vicente López,Villa Martelli,904,5337,1,5010,3,1,0,375,11631,25616,SI,SI,--,SI,SI,SI,SI,SI,SI,6861010.0,-34.5525979527695,-58.5091432644227
